id,restaurant,dish,cuisine,price,rating,city,area,dietary,spicy,mood_tags,meal_type,distance_km,delivery_minutes,image_url
259,Zaika Darbar,Stuffed Kulcha,Punjabi,180,4.8,Gwalior,Hazira,Vegetarian,True,"['comfort', 'happy']","['breakfast', 'lunch']",7.9,47,"https://loremflickr.com/800/600/stuffed,kulcha?lock=259"
260,Rasoi 24,Tandoori Roti,North Indian,55,3.9,Gwalior,University Road,Vegetarian,False,"['healthy', 'comfort']","['lunch', 'dinner']",4.8,31,"https://loremflickr.com/800/600/tandoori,roti?lock=260"
261,Chatori Gali Kitchen,Veg Seekh Kebab,Mughlai,190,4.2,Gwalior,Phalka Bazar,Vegetarian,True,"['adventurous', 'social']","['snacks', 'dinner']",2.5,23,"https://loremflickr.com/800/600/veg,seekh,kebab?lock=261"
262,Spice Villa,Hara Bhara Kebab,Mughlai,180,4.7,Gwalior,Mahalgaon,Vegetarian,True,"['healthy', 'adventurous']",['snacks'],5.3,34,"https://loremflickr.com/800/600/hara,bhara,kebab?lock=262"
263,Khaao Ghar,Dahi Kebab,Mughlai,190,4.3,Gwalior,Lashkar,Vegetarian,False,"['relaxed', 'adventurous']",['snacks'],3.6,36,"https://loremflickr.com/800/600/dahi,kebab?lock=263"
264,Dilli Darbar Gwalior,Corn Cheese Balls,Fast Food,180,4.4,Gwalior,Thatipur,Vegetarian,False,"['happy', 'social']",['snacks'],4.1,31,"https://loremflickr.com/800/600/corn,cheese,balls?lock=264"
265,Tawa Treat,Crispy Corn,Chinese,190,4.7,Gwalior,Morar,Vegetarian,True,"['adventurous', 'social']",['snacks'],3.5,27,"https://loremflickr.com/800/600/crispy,corn?lock=265"
266,The Indian Platter,Honey Chilli Potato,Chinese,210,4.5,Gwalior,City Centre,Vegetarian,True,"['happy', 'adventurous']",['snacks'],2.6,24,"https://loremflickr.com/800/600/honey,chilli,potato?lock=266"
267,Curry & Crust,Dragon Paneer,Chinese,250,4.3,Gwalior,Hazira,Vegetarian,True,"['adventurous', 'happy']","['snacks', 'dinner']",5.7,41,"https://loremflickr.com/800/600/dragon,paneer?lock=267"
268,Flavour Junction,Schezwan Paneer,Chinese,240,4.4,Gwalior,University Road,Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",2.7,29,"https://loremflickr.com/800/600/schezwan,paneer?lock=268"
269,Desi Bowl,Schezwan Fried Rice,Chinese,220,4.0,Gwalior,Phalka Bazar,Vegetarian,True,"['adventurous', 'comfort']","['lunch', 'dinner']",3.0,33,"https://loremflickr.com/800/600/schezwan,fried,rice?lock=269"
270,Rasoi Republic,Burnt Garlic Rice,Chinese,220,3.8,Gwalior,Mahalgaon,Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",3.4,33,"https://loremflickr.com/800/600/burnt,garlic,rice?lock=270"
271,The Punjabi Table,Triple Schezwan Rice,Chinese,270,4.5,Gwalior,Lashkar,Vegetarian,True,"['adventurous', 'social']","['lunch', 'dinner']",4.0,30,"https://loremflickr.com/800/600/triple,schezwan,rice?lock=271"
272,Dosa District,Chilli Garlic Noodles,Chinese,190,3.8,Gwalior,Thatipur,Vegetarian,True,"['adventurous', 'tired']","['lunch', 'dinner']",4.1,29,"https://loremflickr.com/800/600/chilli,garlic,noodles?lock=272"
273,Biryani Darbar,Singapore Noodles,Chinese,190,4.2,Gwalior,Morar,Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",6.6,45,"https://loremflickr.com/800/600/singapore,noodles?lock=273"
274,Healthy Habits Cafe,Veg Chow Mein,Chinese,170,4.7,Gwalior,City Centre,Vegetarian,True,"['comfort', 'happy']","['lunch', 'dinner']",3.3,24,"https://loremflickr.com/800/600/veg,chow,mein?lock=274"
275,Snack Station,American Chopsuey,Chinese,250,4.4,Gwalior,Hazira,Vegetarian,False,"['comfort', 'happy']",['dinner'],6.3,39,"https://loremflickr.com/800/600/american,chopsuey?lock=275"
276,Mitti Ki Rasoi,Paneer Chopsuey,Chinese,220,4.7,Gwalior,University Road,Vegetarian,True,"['adventurous', 'comfort']",['dinner'],5.8,41,"https://loremflickr.com/800/600/paneer,chopsuey?lock=276"
277,The Chaat Lab,Thai Red Curry,Thai,300,4.7,Gwalior,Phalka Bazar,Vegetarian,True,"['adventurous', 'relaxed']","['lunch', 'dinner']",3.0,34,"https://loremflickr.com/800/600/thai,red,curry?lock=277"
278,Royal Thali House,Thai Green Curry,Thai,260,4.0,Gwalior,Mahalgaon,Vegetarian,True,"['healthy', 'adventurous']","['lunch', 'dinner']",3.7,37,"https://loremflickr.com/800/600/thai,green,curry?lock=278"
279,Taste Trail,Veg Pad Thai,Thai,230,4.7,Gwalior,Lashkar,Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",1.8,22,"https://loremflickr.com/800/600/veg,pad,thai?lock=279"
280,Gharana Kitchen,Chicken Pad Thai,Thai,300,3.8,Gwalior,Thatipur,Non-Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",3.6,34,"https://loremflickr.com/800/600/chicken,pad,thai?lock=280"
281,Kesar Kitchen,Mexican Veg Tacos,Mexican,240,4.5,Gwalior,Lashkar,Vegetarian,True,"['adventurous', 'happy']","['snacks', 'dinner']",2.8,23,"https://loremflickr.com/800/600/mexican,veg,tacos?lock=281"
282,Rasoi Express,Mexican Bean Burrito,Mexican,230,3.9,Gwalior,Thatipur,Vegetarian,True,"['comfort', 'adventurous']","['lunch', 'dinner']",5.5,41,"https://loremflickr.com/800/600/mexican,bean,burrito?lock=282"
283,Maa Annapurna Bhoj,Chicken Burrito,Mexican,270,4.5,Gwalior,Morar,Non-Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",5.4,35,"https://loremflickr.com/800/600/chicken,burrito?lock=283"
284,Gwalior Food Studio,Veg Quesadilla,Mexican,220,4.3,Gwalior,City Centre,Vegetarian,False,"['comfort', 'happy']","['snacks', 'dinner']",1.2,21,"https://loremflickr.com/800/600/veg,quesadilla?lock=284"
285,Desi Dastarkhwan,Chicken Quesadilla,Mexican,270,4.0,Gwalior,Hazira,Non-Vegetarian,True,"['happy', 'adventurous']","['snacks', 'dinner']",6.0,35,"https://loremflickr.com/800/600/chicken,quesadilla?lock=285"
286,Zaika-e-Gwalior,Cheese Garlic Bread,Italian,130,4.1,Gwalior,Phalka Bazar,Vegetarian,False,"['comfort', 'social']",['snacks'],1.6,21,"https://loremflickr.com/800/600/cheese,garlic,bread?lock=286"
287,Spice Garden,Bruschetta,Italian,190,4.7,Gwalior,University Road,Vegetarian,False,"['relaxed', 'healthy']",['snacks'],3.8,36,https://loremflickr.com/800/600/bruschetta?lock=287
288,Shahi Handi,Arrabbiata Pasta,Italian,250,4.5,Gwalior,Mahalgaon,Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",3.4,28,"https://loremflickr.com/800/600/arrabbiata,pasta?lock=288"
289,Urban Rasoi,Pesto Pasta,Italian,230,4.1,Gwalior,Lashkar,Vegetarian,False,"['relaxed', 'healthy']","['lunch', 'dinner']",2.2,23,"https://loremflickr.com/800/600/pesto,pasta?lock=289"
290,Tawa Junction,Lasagna Veg,Italian,260,4.8,Gwalior,Thatipur,Vegetarian,False,"['comfort', 'happy']","['lunch', 'dinner']",5.7,42,"https://loremflickr.com/800/600/lasagna,veg?lock=290"
291,Bhookh Lagi,Lasagna Chicken,Italian,320,4.0,Gwalior,Morar,Non-Vegetarian,False,"['comfort', 'happy']","['lunch', 'dinner']",7.2,41,"https://loremflickr.com/800/600/lasagna,chicken?lock=291"
292,The Curry Leaf,Four Cheese Pizza,Italian,310,4.9,Gwalior,City Centre,Vegetarian,False,"['comfort', 'social']","['lunch', 'dinner']",1.8,26,"https://loremflickr.com/800/600/four,cheese,pizza?lock=292"
293,Nawab's Kitchen,Mexican Pizza,Italian,320,4.2,Gwalior,Hazira,Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",7.5,38,"https://loremflickr.com/800/600/mexican,pizza?lock=293"
294,Saffron Table,Peri Peri Chicken Pizza,Italian,350,4.1,Gwalior,University Road,Non-Vegetarian,True,"['adventurous', 'social']","['lunch', 'dinner']",6.1,37,"https://loremflickr.com/800/600/peri,peri,chicken,pizza?lock=294"
295,Chatkara Point,Paneer Tikka Pizza,Italian,300,4.7,Gwalior,Phalka Bazar,Vegetarian,True,"['happy', 'adventurous']","['lunch', 'dinner']",3.4,26,"https://loremflickr.com/800/600/paneer,tikka,pizza?lock=295"
296,Dakshin Rasoi,Cheese Burst Veg Pizza,Italian,310,4.3,Gwalior,Mahalgaon,Vegetarian,False,"['comfort', 'happy']","['lunch', 'dinner']",4.8,38,"https://loremflickr.com/800/600/cheese,burst,veg,pizza?lock=296"
297,Desi Dhaba,Veggie Loaded Burger,Fast Food,170,4.2,Gwalior,Lashkar,Vegetarian,False,"['happy', 'social']","['lunch', 'snacks']",4.1,29,"https://loremflickr.com/800/600/veggie,loaded,burger?lock=297"
298,Flame & Tawa,Peri Peri Veg Burger,Fast Food,220,4.0,Gwalior,Thatipur,Vegetarian,True,"['adventurous', 'happy']","['lunch', 'snacks']",2.1,26,"https://loremflickr.com/800/600/peri,peri,veg,burger?lock=298"
299,Annapurna Kitchen,Crispy Chicken Burger,Fast Food,230,4.0,Gwalior,Morar,Non-Vegetarian,True,"['adventurous', 'happy']","['lunch', 'snacks']",4.2,34,"https://loremflickr.com/800/600/crispy,chicken,burger?lock=299"
300,The Food Lane,Double Cheese Burger,Fast Food,220,4.1,Gwalior,City Centre,Vegetarian,False,"['comfort', 'social']","['lunch', 'snacks']",2.6,26,"https://loremflickr.com/800/600/double,cheese,burger?lock=300"
301,Royal Tawa,Paneer Cheese Burger,Fast Food,210,4.1,Gwalior,Hazira,Vegetarian,False,"['comfort', 'happy']","['lunch', 'snacks']",5.3,41,"https://loremflickr.com/800/600/paneer,cheese,burger?lock=301"
302,Bhopal Bites Gwalior,Peri Peri Fries,Fast Food,140,4.2,Gwalior,University Road,Vegetarian,True,"['adventurous', 'happy']",['snacks'],4.9,35,"https://loremflickr.com/800/600/peri,peri,fries?lock=302"
303,Roti & Curry,Cheese Fries,Fast Food,160,4.8,Gwalior,Phalka Bazar,Vegetarian,False,"['comfort', 'happy']",['snacks'],4.2,27,"https://loremflickr.com/800/600/cheese,fries?lock=303"
304,Masala Junction,Masala Fries,Fast Food,140,3.8,Gwalior,Mahalgaon,Vegetarian,True,"['happy', 'social']",['snacks'],5.6,39,"https://loremflickr.com/800/600/masala,fries?lock=304"
305,Ghar Ka Swaad,Loaded Nachos,Mexican,200,4.3,Gwalior,Lashkar,Vegetarian,True,"['social', 'happy']",['snacks'],2.6,26,"https://loremflickr.com/800/600/loaded,nachos?lock=305"
306,Tadka Tales,Cheese Nachos,Mexican,170,4.6,Gwalior,Thatipur,Vegetarian,False,"['comfort', 'social']",['snacks'],5.8,35,"https://loremflickr.com/800/600/cheese,nachos?lock=306"
307,Foodie Adda,Veg Club Sandwich,Fast Food,170,4.6,Gwalior,Morar,Vegetarian,False,"['happy', 'tired']","['breakfast', 'snacks']",5.0,34,"https://loremflickr.com/800/600/veg,club,sandwich?lock=307"
308,The Hungry Bowl,Chicken Club Sandwich,Fast Food,220,4.7,Gwalior,City Centre,Non-Vegetarian,False,"['happy', 'social']","['breakfast', 'snacks']",2.6,32,"https://loremflickr.com/800/600/chicken,club,sandwich?lock=308"
309,Zaika Darbar,Paneer Club Sandwich,Fast Food,240,3.7,Gwalior,Hazira,Vegetarian,False,"['happy', 'healthy']","['breakfast', 'snacks']",5.4,38,"https://loremflickr.com/800/600/paneer,club,sandwich?lock=309"
310,Rasoi 24,Avocado Toast,Healthy,240,4.2,Gwalior,University Road,Vegetarian,False,"['healthy', 'relaxed']",['breakfast'],5.7,35,"https://loremflickr.com/800/600/avocado,toast?lock=310"
311,Chatori Gali Kitchen,Peanut Butter Toast,Healthy,130,4.6,Gwalior,Phalka Bazar,Vegetarian,False,"['healthy', 'tired']",['breakfast'],4.3,38,"https://loremflickr.com/800/600/peanut,butter,toast?lock=311"
312,Spice Villa,Granola Yogurt Bowl,Healthy,200,4.5,Gwalior,Mahalgaon,Vegetarian,False,"['healthy', 'relaxed']",['breakfast'],6.4,39,"https://loremflickr.com/800/600/granola,yogurt,bowl?lock=312"
313,Khaao Ghar,Greek Salad,Healthy,250,4.5,Gwalior,Lashkar,Vegetarian,False,"['healthy', 'relaxed']","['lunch', 'dinner']",4.1,38,"https://loremflickr.com/800/600/greek,salad?lock=313"
314,Dilli Darbar Gwalior,Quinoa Veg Bowl,Healthy,260,3.7,Gwalior,Thatipur,Vegetarian,False,"['healthy', 'tired']","['lunch', 'dinner']",4.8,31,"https://loremflickr.com/800/600/quinoa,veg,bowl?lock=314"
315,Tawa Treat,Grilled Chicken Bowl,Healthy,270,4.5,Gwalior,Morar,Non-Vegetarian,False,"['healthy', 'adventurous']","['lunch', 'dinner']",7.0,36,"https://loremflickr.com/800/600/grilled,chicken,bowl?lock=315"
316,The Indian Platter,Protein Paneer Bowl,Healthy,260,4.1,Gwalior,City Centre,Vegetarian,True,"['healthy', 'happy']","['lunch', 'dinner']",1.4,21,"https://loremflickr.com/800/600/protein,paneer,bowl?lock=316"
317,Curry & Crust,Sprouts Sandwich,Healthy,180,4.8,Gwalior,Hazira,Vegetarian,False,"['healthy', 'tired']","['breakfast', 'snacks']",5.9,41,"https://loremflickr.com/800/600/sprouts,sandwich?lock=317"
318,Flavour Junction,Multigrain Veg Wrap,Healthy,180,3.9,Gwalior,University Road,Vegetarian,False,"['healthy', 'tired']","['lunch', 'snacks']",5.6,34,"https://loremflickr.com/800/600/multigrain,veg,wrap?lock=318"
319,Desi Bowl,Chicken Caesar Salad,Healthy,290,4.7,Gwalior,Phalka Bazar,Non-Vegetarian,False,"['healthy', 'relaxed']","['lunch', 'dinner']",4.0,32,"https://loremflickr.com/800/600/chicken,caesar,salad?lock=319"
320,Rasoi Republic,Orange Detox Juice,Beverage,110,4.2,Gwalior,Mahalgaon,Vegetarian,False,"['healthy', 'relaxed']","['breakfast', 'snacks']",5.6,35,"https://loremflickr.com/800/600/orange,detox,juice?lock=320"
321,The Punjabi Table,Watermelon Cooler,Beverage,100,4.3,Gwalior,Lashkar,Vegetarian,False,"['healthy', 'happy']",['snacks'],2.9,26,"https://loremflickr.com/800/600/watermelon,cooler?lock=321"
322,Dosa District,Mint Lemonade,Beverage,100,4.8,Gwalior,Thatipur,Vegetarian,False,"['relaxed', 'happy']",['snacks'],3.9,33,"https://loremflickr.com/800/600/mint,lemonade?lock=322"
323,Biryani Darbar,Rose Milk,Beverage,100,4.1,Gwalior,Morar,Vegetarian,False,"['relaxed', 'happy']",['snacks'],4.8,37,"https://loremflickr.com/800/600/rose,milk?lock=323"
324,Healthy Habits Cafe,Kesar Badam Milk,Beverage,120,4.5,Gwalior,City Centre,Vegetarian,False,"['comfort', 'relaxed']","['breakfast', 'snacks']",3.3,32,"https://loremflickr.com/800/600/kesar,badam,milk?lock=324"
325,Snack Station,Filter Coffee,Beverage,90,4.6,Gwalior,Hazira,Vegetarian,False,"['tired', 'relaxed']","['breakfast', 'snacks']",7.4,47,"https://loremflickr.com/800/600/filter,coffee?lock=325"
326,Mitti Ki Rasoi,Ginger Tea,Beverage,90,3.8,Gwalior,University Road,Vegetarian,False,"['tired', 'comfort']","['breakfast', 'snacks']",5.6,36,"https://loremflickr.com/800/600/ginger,tea?lock=326"
327,The Chaat Lab,Elaichi Tea,Beverage,60,4.6,Gwalior,Phalka Bazar,Vegetarian,False,"['relaxed', 'comfort']","['breakfast', 'snacks']",3.7,26,"https://loremflickr.com/800/600/elaichi,tea?lock=327"
328,Royal Thali House,Masala Buttermilk,Beverage,70,4.0,Gwalior,Mahalgaon,Vegetarian,True,"['healthy', 'relaxed']","['lunch', 'snacks']",5.1,40,"https://loremflickr.com/800/600/masala,buttermilk?lock=328"
329,Taste Trail,Jaljeera,Beverage,60,4.2,Gwalior,Lashkar,Vegetarian,True,"['healthy', 'happy']",['snacks'],1.7,28,https://loremflickr.com/800/600/jaljeera?lock=329
330,Gharana Kitchen,Kesar Kulfi,Dessert,130,4.0,Gwalior,Thatipur,Vegetarian,False,"['happy', 'relaxed']","['snacks', 'dinner']",2.5,27,"https://loremflickr.com/800/600/kesar,kulfi?lock=330"
